Aircraft_ID,Aircraft.Category,Engine.Type,Registration.Number,Number.of.Engines,Make,Model,Aircraft.damage
1942,Airplane,Reciprocating,N7373V,1,Grumman,G-164A,Substantial
1943,Airplane,Reciprocating,N301M,1,Cessna,172F,Destroyed
1944,Airplane,Reciprocating,N3690X,1,Cessna,177RG,Destroyed
1945,Airplane,Reciprocating,N5945T,1,Cessna,172,Destroyed
1946,Airplane,Reciprocating,N3335J,1,Bellanca,17-31,Destroyed
1947,Airplane,Reciprocating,N4448S,1,Cessna,195,Destroyed
1948,Airplane,Reciprocating,N98316,1,Aero Commander,S2R,Destroyed
1949,Airplane,Reciprocating,N37109,1,Cessna,150D,Substantial
1950,Airplane,Reciprocating,N4966,1,Cessna,150G,Substantial
1951,Airplane,Reciprocating,N116AL,1,Air Tractor,AT-301,Substantial
1952,Airplane,Reciprocating,N53812,1,Piper,PA-28-140,Substantial
1953,Airplane,Reciprocating,N4589,1,Ercoupe,415-C,Substantial
1954,Helicopter,Turbo Shaft,N33226,1,Aerospatiale,SA-318C,Substantial
1955,Helicopter,Turbo Shaft,N6868P,1,Bell,206B,Substantial
1956,Airplane,Reciprocating,N26209,1,Bellanca,7ECA,Substantial
1957,Airplane,Reciprocating,N7115L,1,Grumman,G-164,Destroyed
1958,Airplane,Reciprocating,N3123W,1,Cessna,177RG,Minor
1959,Airplane,Reciprocating,N8878M,1,Piper,PA-24-250,Destroyed
1960,Airplane,Reciprocating,N93444,1,Cessna,R172E,Substantial
1961,Airplane,Reciprocating,N7047Y,1,Grumman,AA-5,Substantial
1962,Airplane,Reciprocating,N6145C,1,Beech,A36,Substantial
1963,Airplane,Reciprocating,N9692U,1,Beech,A23,Substantial
1964,Airplane,Reciprocating,N8538S,1,Cessna,152II,Substantial
1965,Airplane,Reciprocating,N66GH,2,Piper,PA-30-160,Substantial
1966,Helicopter,Reciprocating,N1815U,1,Bell,47G-2,Substantial
1967,Airplane,Reciprocating,N64947,1,Grumman,AA-5A,Destroyed
1968,Airplane,Reciprocating,N8519F,1,Air Tractor,301,Destroyed
1969,Airplane,Reciprocating,N1216L,1,Cessna,T-210L,Destroyed
1970,Airplane,Turbo Fan,N6426K,3,Mcdonnell Douglas,DC-10-10,Minor
1971,Airplane,Reciprocating,N59242,1,Cessna,172P,Destroyed
1972,Airplane,Reciprocating,N18010,1,,WINDWAGON,Destroyed
1973,Airplane,Reciprocating,N8760D,1,Lake,LA-4,Substantial
1974,Airplane,Reciprocating,N5PL,1,Downer Aircraft Industries,REPUBLIC RC-3,Substantial
1975,,Reciprocating,N9944T,1,Cessna,210L,Substantial
1976,Airplane,Reciprocating,N2747V,1,Cessna,150L,Substantial
1977,Airplane,Reciprocating,N891A,1,Piper,PA-22-150,Substantial
1978,Airplane,Reciprocating,N95484,1,Cessna,T188C,Substantial
1979,Airplane,Reciprocating,N72655,1,Luscombe,8F,Substantial
1980,Airplane,Reciprocating,N4758N,1,Cessna,182C,Substantial
1981,Airplane,Reciprocating,N736EY,1,Cessna,210D,Substantial
1982,Airplane,Reciprocating,N756XW,1,Piper,PA-22,Substantial
1983,Helicopter,Reciprocating,N610S,1,Sikorsky,H-19,Substantial
1984,Airplane,Reciprocating,N704GL,1,Cessna,172M,Destroyed
1985,Airplane,Reciprocating,N5114S,2,Beech,C45G,Destroyed
1986,Airplane,Reciprocating,N31844,1,Cessna,TR182,Destroyed
1987,Airplane,Reciprocating,N8375Q,1,Cessna,TU206G,Substantial
1988,Airplane,Reciprocating,N8381G,1,Mong,SPORT 1,Substantial
1989,Airplane,Reciprocating,N8870L,1,Cessna,150M,Substantial
1990,Airplane,Reciprocating,N5715L,1,Piper,PA-28R,Substantial
1991,Airplane,Reciprocating,N9245X,1,Piper,PA-32RT,Substantial
1992,Airplane,Reciprocating,N8873F,1,Cessna,A185F,Substantial
1993,Airplane,Reciprocating,N2146Y,1,Cessna,150,Substantial
1994,Airplane,Reciprocating,N910PD,1,Grumman,AMERICAN AA-1B,Substantial
1995,Airplane,Reciprocating,N6215D,1,American,AA-1,Substantial
1996,Airplane,Reciprocating,N85580,1,Cessna,182E,Substantial
1997,Helicopter,Reciprocating,N2297Z,1,Hughes,269,Substantial
1998,Airplane,Reciprocating,N782Y,1,Piper,PA-28-161,Destroyed
1999,Helicopter,Turbo Shaft,N6022U,1,Bell,204,Destroyed
2000,Airplane,Reciprocating,N8532N,1,Cessna,172N,Destroyed
2001,Airplane,Reciprocating,N43957,1,Aeronca,7AC,Destroyed
2002,Airplane,Reciprocating,N6440T,1,Volmer Aircraft,VJ-22,Destroyed
2003,Airplane,Reciprocating,N4600S,1,Beech,C23,Substantial
2004,Airplane,Reciprocating,N4326S,1,Beech,C23,Substantial
2005,Airplane,Reciprocating,N34RS,1,Piper,PA-28-235D,Substantial
2006,Airplane,Reciprocating,N52GS,1,Piper,PA-28-181,Substantial
2007,Airplane,Reciprocating,N1978D,1,Cessna,150,Substantial
2008,Airplane,Reciprocating,N42098,1,Beech,A36,Substantial
2009,Airplane,Reciprocating,N8548T,1,Air Tractor,AT-301,Substantial
2010,Airplane,Reciprocating,N1378L,2,Beech,95-A55,Substantial
2011,Airplane,Reciprocating,N5421P,1,Beech,36,Substantial
2012,Airplane,Reciprocating,N8132K,1,Beech,C35,Substantial
2013,Airplane,Reciprocating,N52763,1,Piper,J3C-65,Substantial
2014,Airplane,Reciprocating,N8232S,1,Cessna,182C,Destroyed
2015,Airplane,Reciprocating,N5771L,2,Cessna,T337H,Destroyed
2016,Airplane,Reciprocating,N58414,1,Cessna,152,Substantial
2017,Airplane,Reciprocating,N3606B,1,Gulfstream,G-164B,Substantial
2018,Airplane,Reciprocating,N5179B,1,Cessna,182,Substantial
2019,Airplane,Reciprocating,N50733,1,Cessna,150F,Substantial
2020,Helicopter,Turbo Shaft,N6241Z,1,Aerospatiale,AS-350D,Substantial
2021,Helicopter,Turbo Shaft,N8694F,1,Hughes,369D,Destroyed
2022,Airplane,Reciprocating,N4041P,2,Beech,E18S,Minor
2023,Airplane,Reciprocating,N8288U,1,Cessna,152,Destroyed
2024,Airplane,Reciprocating,N6689K,1,Osprey,II,Destroyed
2025,Airplane,Reciprocating,N6487D,1,Piper,PA-25-150,Destroyed
2026,Helicopter,Turbo Shaft,N8272K,1,Hughes,369D,Substantial
2027,Balloon,Unknown,N2260K,0,Firefly,7,Substantial
2028,Airplane,Reciprocating,N2TP,1,Cessna,150M,Substantial
2029,Airplane,Reciprocating,N38117,1,Grumman,G-164B,Substantial
2030,Airplane,Reciprocating,N33329,1,Cessna,172,Substantial
2031,Airplane,Reciprocating,N62RB,1,Grumman,G-164B,Substantial
2032,Airplane,Reciprocating,N8408X,1,Evans Aircraft,VP-1,Substantial
2033,Airplane,Reciprocating,N60246,1,Beech,J35,Substantial
2034,Helicopter,Reciprocating,N731AK,1,Texas Helicopter Corp.,OH-13E,Substantial
2035,Airplane,Reciprocating,N83503,2,Piper,PA-34-200T,Destroyed
2036,Airplane,Reciprocating,N18727,1,Thorp,T-18,Destroyed
2037,Airplane,Reciprocating,N9239Z,1,Piper,PA-32-301,Destroyed
2038,Airplane,Reciprocating,N1885T,1,Cessna,150J,Destroyed
2039,Airplane,Reciprocating,N90088,1,Cessna,188B,Destroyed
2040,Airplane,Reciprocating,N6559,1,Piper,18,Destroyed
2041,Airplane,Reciprocating,N2064B,1,Cessna,150L,Destroyed
2042,Helicopter,Reciprocating,N3937Z,1,"Rotorway Aircraft, Inc.",SCORPION TOO,Destroyed
2043,Airplane,Reciprocating,N757LG,1,Piper,PA-28-140,Substantial
2044,Airplane,Reciprocating,N1914L,1,Cessna,140,Substantial
2045,Airplane,Reciprocating,N31461,1,Grumman,G-164A,Substantial
2046,Airplane,Reciprocating,N22912,1,Luscombe,8A,Substantial
2047,Airplane,Reciprocating,N8801Y,1,Piper,18,Substantial
2048,Airplane,Reciprocating,N761EL,1,Cessna,152,Substantial
2049,Airplane,Reciprocating,N2428E,1,Beech,B19,Substantial
2050,Airplane,Reciprocating,N81PH,1,Pitts,S2S,Substantial
2051,Airplane,Reciprocating,N655FL,1,Cessna,150,Substantial
